Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W)
456, 11/28/2024, 13:17:03.815,0.00032211
457, 11/28/2024, 13:17:04.831,0.00032202
458, 11/28/2024, 13:17:05.842,0.00032209
459, 11/28/2024, 13:17:06.856,0.0003221
460, 11/28/2024, 13:17:07.870,0.00032221
461, 11/28/2024, 13:17:08.147,0.00032227
462, 11/28/2024, 13:17:09.161,0.00032224
463, 11/28/2024, 13:17:10.172,0.00032212
464, 11/28/2024, 13:17:11.184,0.00032212
465, 11/28/2024, 13:17:12.195,0.00032212
466, 11/28/2024, 13:17:13.209,0.0003222
467, 11/28/2024, 13:17:14.221,0.0003222
468, 11/28/2024, 13:17:15.234,0.00032223
469, 11/28/2024, 13:17:16.242,0.00032219
470, 11/28/2024, 13:17:17.255,0.00032204
471, 11/28/2024, 13:17:18.265,0.00032203
472, 11/28/2024, 13:17:19.273,0.00032217
473, 11/28/2024, 13:17:20.287,0.00032221
474, 11/28/2024, 13:17:21.296,0.00032229
475, 11/28/2024, 13:17:22.311,0.00032222
476, 11/28/2024, 13:17:23.322,0.00032215
477, 11/28/2024, 13:17:24.332,0.00032212
478, 11/28/2024, 13:17:25.344,0.00032217
479, 11/28/2024, 13:17:26.357,0.00032221
480, 11/28/2024, 13:17:27.370,0.00032223
481, 11/28/2024, 13:17:28.384,0.00032218
482, 11/28/2024, 13:17:29.396,0.00032215
483, 11/28/2024, 13:17:30.406,0.0003221
484, 11/28/2024, 13:17:31.417,0.00032214
485, 11/28/2024, 13:17:32.429,0.00032225
486, 11/28/2024, 13:17:33.443,0.00032225
487, 11/28/2024, 13:17:34.461,0.00032224
488, 11/28/2024, 13:17:35.476,0.00032218
489, 11/28/2024, 13:17:36.488,0.00032204
490, 11/28/2024, 13:17:37.501,0.00032204
491, 11/28/2024, 13:17:38.520,0.00032214
492, 11/28/2024, 13:17:39.532,0.00032214
493, 11/28/2024, 13:17:40.546,0.00032215
494, 11/28/2024, 13:17:41.553,0.00032207
495, 11/28/2024, 13:17:42.563,0.00032202
496, 11/28/2024, 13:17:43.577,0.0003221
497, 11/28/2024, 13:17:44.590,0.0003222
498, 11/28/2024, 13:17:45.603,0.00032223
499, 11/28/2024, 13:17:46.619,0.00032226
500, 11/28/2024, 13:17:47.633,0.00032209
501, 11/28/2024, 13:17:48.642,0.00032203
502, 11/28/2024, 13:17:49.657,0.00032203
503, 11/28/2024, 13:17:50.668,0.00032212
504, 11/28/2024, 13:17:51.681,0.0003222
505, 11/28/2024, 13:17:52.695,0.00032217
506, 11/28/2024, 13:17:53.710,0.00032213
507, 11/28/2024, 13:17:54.728,0.00032206
508, 11/28/2024, 13:17:55.739,0.00032209
509, 11/28/2024, 13:17:56.754,0.00032213
510, 11/28/2024, 13:17:57.766,0.00032215
511, 11/28/2024, 13:17:58.781,0.00032216
512, 11/28/2024, 13:17:59.793,0.00032209
513, 11/28/2024, 13:18:00.815,0.00032207
514, 11/28/2024, 13:18:01.831,0.00032202
515, 11/28/2024, 13:18:02.843,0.00032214
516, 11/28/2024, 13:18:03.855,0.00032223
517, 11/28/2024, 13:18:04.870,0.00032217
518, 11/28/2024, 13:18:05.150,0.00032211
519, 11/28/2024, 13:18:06.162,0.00032216
